Start of debug log: Sat, 04 Jan 2025 09:27:58 GMT
Format: [Timestamp] Message

[Sat, 04 Jan 2025 09:27:58 GMT] Cleared temp folder (./src/temp).

[Sat, 04 Jan 2025 09:28:24 GMT] Created buffer file (./src/temp/kGjcyBpYIt0-temp_audio.pcm) for song (kGjcyBpYIt0).

[Sat, 04 Jan 2025 09:28:25 GMT] Audio is now buffering!

[Sat, 04 Jan 2025 09:28:25 GMT] Audio is now playing!

[Sat, 04 Jan 2025 09:28:41 GMT] Cleared temp folder (./src/temp).

[Sat, 04 Jan 2025 09:28:41 GMT] Cleared the queue for bot (1310116919403216997).

[Sat, 04 Jan 2025 09:28:41 GMT] Audio has finished playing.

[Sat, 04 Jan 2025 09:40:04 GMT] Created buffer file (./src/archive/WlphQmRYBWA-temp_audio.pcm) for song (WlphQmRYBWA).

[Sat, 04 Jan 2025 09:40:47 GMT] Created buffer file (./src/temp/ki_tqVbsZU4-temp_audio.pcm) for song (ki_tqVbsZU4).

[Sat, 04 Jan 2025 09:40:47 GMT] Audio is now buffering!

[Sat, 04 Jan 2025 09:40:47 GMT] Audio is now playing!

[Sat, 04 Jan 2025 09:41:43 GMT] Cleared temp folder (./src/temp).

[Sat, 04 Jan 2025 09:42:05 GMT] Added song (-ErZ9-Nrcnc).

[Sat, 04 Jan 2025 09:42:10 GMT] Created buffer file (./src/temp/WlphQmRYBWA-temp_audio.pcm) for song (WlphQmRYBWA).

[Sat, 04 Jan 2025 09:42:10 GMT] Audio is now buffering!

[Sat, 04 Jan 2025 09:42:10 GMT] Audio is now playing!

[Sat, 04 Jan 2025 09:42:14 GMT] Created buffer file (./src/archive/ki_tqVbsZU4-temp_audio.pcm) for song (ki_tqVbsZU4).

[Sat, 04 Jan 2025 09:42:31 GMT] Cleared temp folder (./src/temp).

[Sat, 04 Jan 2025 09:42:31 GMT] Cleared the queue for bot (1310116919403216997).

[Sat, 04 Jan 2025 09:42:31 GMT] Audio has finished playing.

[Sat, 04 Jan 2025 09:42:48 GMT] Created buffer file (./src/temp/-ErZ9-Nrcnc-temp_audio.pcm) for song (-ErZ9-Nrcnc).

[Sat, 04 Jan 2025 09:42:48 GMT] Audio is now buffering!

[Sat, 04 Jan 2025 09:42:48 GMT] Audio is now playing!

[Sat, 04 Jan 2025 10:34:55 GMT] Cleared temp folder (./src/temp).

[Sun, 05 Jan 2025 05:35:43 GMT] Added song (EX6rYPtj2GE).

[Sun, 05 Jan 2025 05:35:43 GMT] Added song (s16y9o_IZxs).

[Sun, 05 Jan 2025 05:35:43 GMT] Added song (bNYc0BfQv_c).

[Sun, 05 Jan 2025 05:35:43 GMT] Added song (kSx5pPwUdZI).

[Sun, 05 Jan 2025 05:35:43 GMT] Added song (SFmpRaQggLo).

[Sun, 05 Jan 2025 05:35:43 GMT] Added song (SFmpRaQggLo).

[Sun, 05 Jan 2025 05:36:19 GMT] Added song (bNYc0BfQv_c).

[Sun, 05 Jan 2025 05:36:19 GMT] Added song (s16y9o_IZxs).

[Sun, 05 Jan 2025 05:36:19 GMT] Added song (EX6rYPtj2GE).

[Sun, 05 Jan 2025 05:36:19 GMT] Added song (kSx5pPwUdZI).

[Sun, 05 Jan 2025 05:36:19 GMT] Added song (SFmpRaQggLo).
