Start of debug log: Tue, 07 Jan 2025 09:23:57 GMT
Format: [Timestamp] Message

[Tue, 07 Jan 2025 09:23:57 GMT] Created audio stream for song (Z99r74EMWP8).

[Tue, 07 Jan 2025 09:23:58 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:23:58 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:24:21 GMT] Updated volume for guild (1221985499158286366): 100% -> 60%

[Tue, 07 Jan 2025 09:24:40 GMT] Created audio stream for song (Z99r74EMWP8).

[Tue, 07 Jan 2025 09:24:40 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:24:40 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:24:40 GMT] Created audio stream for song (fCeiUX59_FM).

[Tue, 07 Jan 2025 09:24:40 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:24:41 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:25:13 GMT] Audio has finished playing.

[Tue, 07 Jan 2025 09:25:20 GMT] Created audio stream for song (-ybnOHBNZyA).

[Tue, 07 Jan 2025 09:25:20 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:25:20 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:25:35 GMT] Updated volume for guild (1221985499158286366): 60% -> 100%

[Tue, 07 Jan 2025 09:25:56 GMT] Created audio stream for song (-ybnOHBNZyA).

[Tue, 07 Jan 2025 09:25:56 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:25:57 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:25:57 GMT] Created audio stream for song (2Pzkh0qr48Y).

[Tue, 07 Jan 2025 09:25:57 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 09:25:57 GMT] Audio is now playing!

[Tue, 07 Jan 2025 09:26:21 GMT] Created audio stream for song (2Pzkh0qr48Y).

[Tue, 07 Jan 2025 09:26:22 GMT] Audio is now buffering!

