Start of debug log: Mon, 25 Nov 2024 11:28:27 GMT
Format: [Timestamp] Message

[Mon, 25 Nov 2024 11:28:27 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 11:34:18 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 11:34:20 GMT] Added song (si6Ox8IuZeU).

[Mon, 25 Nov 2024 11:39:13 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 11:41:43 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 11:45:27 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 11:45:30 GMT] Added song (2fS4qnOyyDY).

[Mon, 25 Nov 2024 11:52:40 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 11:56:20 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:10:16 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:11:17 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:15:46 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:16:33 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:16:53 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:17:58 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:21:51 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:22:20 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:24:03 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:25:03 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:25:37 GMT] Created new queue for bot (1310116919403216997).

[Mon, 25 Nov 2024 12:26:17 GMT] Created new queue for bot (1310116919403216997).

