Start of debug log: Tue, 26 Nov 2024 06:04:50 GMT
Format: [Timestamp] Message

[Tue, 26 Nov 2024 06:04:50 GMT] Removed temp audio file (./src/temp/wq0mbynj4_k-temp_audio.pcm)

[Tue, 26 Nov 2024 06:04:53 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 06:04:53 GMT] Audio is now playing!

[Tue, 26 Nov 2024 06:07:28 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 06:08:05 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 07:29:13 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:29:48 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:30:54 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:31:17 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:31:35 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:31:57 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:32:11 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:33:00 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:34:45 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:35:33 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:36:12 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 07:36:20 GMT] Created buffer file (./src/temp/g3UM7l47AGM-temp_audio.pcm) for song (g3UM7l47AGM).

[Tue, 26 Nov 2024 07:36:20 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 07:36:20 GMT] Audio is now playing!

[Tue, 26 Nov 2024 07:36:24 GMT] Created buffer file (./src/temp/wKKX5phpRo4-temp_audio.pcm) for song (wKKX5phpRo4).

